Car,price,details,post_date,mileage,enginetype,city,year,car,engine
"Hyundai Grandeur, 3.0 լ, 2011 թ.","$11,000 ","Ավան, 2011 թ., 208,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 208,000 կ",Բենզին,Ավան,2011 ,Hyundai Grandeur,3.0 
"Honda Accord, 1.5 լ, 2022 թ.","$29,000 ","Ավան, 2022 թ., 7600 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 7600 մղո",Բենզին,Ավան,2022 ,Honda Accord,1.5 
"Lexus ES, 3.5 լ, 2016 թ., գազ","$29,500 ","Ավան, 2016 թ., 97,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 97,000 կ",Բենզին,Ավան,2016 ,Lexus ES,3.5 
"BMW X5, 3.0 լ, լիաքարշ, 2001 թ., գազ","$8,000 ","Էրեբունի, 2001 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 280,000 կ",Բենզին,Էրեբունի,2001 ,BMW X5,3.0 
"Hyundai Elantra, 2.0 լ, 2016 թ., գազ","$12,500 ","Ավան, 2016 թ., 170,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40",", 170,000 մղո",Բենզին,Ավան,2016 ,Hyundai Elantra,2.0 
"Hyundai Elantra, 1.8 լ, 2013 թ., գազ","$10,500 ","Քանաքեռ Զեյթուն, 2013 թ., 177,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40",ւ,2013 ,Քանաքեռ Զեյ,,Hyundai Elantra,1.8 
"Opel Vectra, 1.6 լ, 1998 թ., գազ","$3,300 ","Նոր Հաճըն, 1998 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40",", 280,000 կ",Բենզին,Նոր Հաճըն,1998 ,Opel Vectra,1.6 
"Mercedes-Benz S-Class, 5.5 լ, 2007 թ., գազ","$11,000 ","Գյումրի, 2007 թ., 236,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40",", 236,000 կ",Բենզին,Գյումրի,2007 ,Mercedes-Benz S-Class,5.5 
"Nissan X-Trail, 2.0 լ, լիաքարշ, 2014 թ.","$15,000 ","Աբովյան, 2014 թ., 206,706 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40",", 206,706 կ",Բենզին,Աբովյան,2014 ,Nissan X-Trail,2.0 
"Opel Astra հետչբեք, 1.8 լ, 1998 թ.","$5,000 ","Աջափնյակ, 1998 թ., 288,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",", 288,000 կ",Բենզին,Աջափնյակ,1998 ,Opel Astra հետչբեք,1.8 
"Toyota Land Cruiser Prado, 3.4 լ, լիաքարշ, 1997 թ.","$14,000 Գինը սակարկելի","Կենտրոն, 1997 թ., 300,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",", 300,000 կ",Բենզին,Կենտրոն,1997 ,Toyota Land Cruiser Prado,3.4 
"Toyota Camry, 2.5 լ, 2021 թ.","$27,000 ","Արմավիր, 2021 թ., 48,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",", 48,000 մղո",Բենզին,Արմավիր,2021 ,Toyota Camry,2.5 
"Mitsubishi Pajero Mini, 0.7 լ, 1996 թ.","$2,900 ","Ավան, 1996 թ., 225,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",", 225,000 կ",Բենզին,Ավան,1996 ,Mitsubishi Pajero Mini,0.7 
"Jeep Compass, 2.4 լ, լիաքարշ, 2018 թ.","$15,400 Լիկվիդացիոն վաճառք","Նոր Նորք, 2018 թ., 67,500 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",", 67,500 մղո",Բենզին,Նոր Նորք,2018 ,Jeep Compass,2.4 
"Hyundai Sonata, 2.4 լ, հիբրիդ, 2014 թ., գազ","$10,800 ","Էրեբունի, 2014 թ., 170,000 մղոն, Հիբրիդ","Երեքշաբթի, Ապրիլ 16, 2024 13:39",", 170,000 մղո",Հիբրիդ,Էրեբունի,2014 ,Hyundai Sonata,2.4 
"Mazda CX-30, 2.5 լ, լիաքարշ, 2020 թ.","$22,500 ","Մալաթիա Սեբաստիա, 2020 թ., 20,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",ա Սեբաստի,2020 ,Մալա,,Mazda CX-30,2.5 
"Hyundai Elantra, 1.8 լ, 2011 թ., գազ","$10,000 ","Էրեբունի, 2011 թ., 177,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",", 177,000 մղո",Բենզին,Էրեբունի,2011 ,Hyundai Elantra,1.8 
"Opel Astra ունիվերսալ, 1.6 լ, 1998 թ., գազ","$4,800 ","Արբաթ, 1998 թ., 3000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39", 1998 ,,Արբա,,Opel Astra ունիվերսա,
"Mercedes-Benz C-Class, 1.6 լ, 2020 թ.","€26,900 ","Կենտրոն, 2020 թ., 73,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",", 73,000 կ",Բենզին,Կենտրոն,2020 ,Mercedes-Benz C-Class,1.6 
"GAZ (ГАЗ) 3110 Volga ունիվերսալ, 2.1 լ, 1999 թ., գազ","500,000 ֏ ","Դավիթաշեն, 1999 թ., 2354 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39",շե,1999 ,Դավի,,GAZ (ГАЗ) 3110 Volga ունիվերսա,
"BMW 5 Series, 2.5 լ, 1998 թ.","$3,000 ","Շենգավիթ, 1998 թ., 330,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38", 1998 ,,Շենգավի,,BMW 5 Series,2.5 
"Ford Fusion (North America), 2.5 լ, 2015 թ.","$11,300 ","Դավիթաշեն, 2015 թ., 137,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",շե,2015 ,Դավի,,Ford Fusion (North America),2.5 
"BMW 5 Series, 3.0 լ, 2009 թ., գազ","$9,200 ","Արաբկիր, 2009 թ., 200,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 200,000 կ",Բենզին,Արաբկիր,2009 ,BMW 5 Series,3.0 
"Nissan Sentra, 1.8 լ, 2019 թ.","$12,200 ","Արմավիր, 2019 թ., 164,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 164,000 կ",Բենզին,Արմավիր,2019 ,Nissan Sentra,1.8 
"BMW 5 Series, 2.8 լ, 2007 թ., գազ","$10,000 ","Աջափնյակ, 2007 թ., 380,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 380,000 կ",Բենզին,Աջափնյակ,2007 ,BMW 5 Series,2.8 
"Honda Accord, 2.4 լ, լիաքարշ, 2015 թ.","$19,500 ","Ավան, 2015 թ., 85,500 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 85,500 մղո",Բենզին,Ավան,2015 ,Honda Accord,2.4 
"Toyota Belta, 1.3 լ, 2008 թ., գազ","$7,000 ","Կապան, 2008 թ., 195,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 195,000 կ",Բենզին,Կապան,2008 ,Toyota Belta,1.3 
"Opel Astra ունիվերսալ, 1.8 լ, 1998 թ., գազ","$4,100 ","Արաբկիր, 1998 թ., 216,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 216,000 կ",Բենզին,Արաբկիր,1998 ,Opel Astra ունիվերսա,
"Mercedes-Benz C-Class, 1.8 լ, 1999 թ., գազ","$3,900 ","Արաբկիր, 1999 թ., 500,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 500,000 կ",Բենզին,Արաբկիր,1999 ,Mercedes-Benz C-Class,1.8 
"Kia Forte, 2.0 լ, 2021 թ.","$18,000 ","Էրեբունի, 2021 թ., 23,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 23,000 կ",Բենզին,Էրեբունի,2021 ,Kia Forte,2.0 
"GAZ (ГАЗ) ГАЗель, 2.7 լ, 1999 թ., գազ","1,220,000 ֏ ","Վեդի, 1999 թ., 75,423 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 75,423 կ",Բենզին,Վեդի,1999 ,GAZ (ГАЗ) ГАЗель,2.7 
"UAZ (УАЗ) Hunter, 2.9 լ, լիաքարշ, 2009 թ.","$6,400 ","Վեդի, 2009 թ., 75,426 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 75,426 կ",Բենզին,Վեդի,2009 ,UAZ (УАЗ) Hunter,2.9 
"MINI Cooper հետչբեք, 1.6 լ, 2006 թ.","$5,200 ","Մալաթիա Սեբաստիա, 2006 թ., 210,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",ա Սեբաստի,2006 ,Մալա,,MINI Cooper հետչբեք,1.6 
"Hyundai Kona, 2.0 լ, լիաքարշ, 2020 թ.","$21,500 ","Էրեբունի, 2020 թ., 13,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38",", 13,000 մղո",Բենզին,Էրեբունի,2020 ,Hyundai Kona,2.0 
"Nissan Pathfinder, 3.5 լ, 2019 թ.","$27,500 ","Աջափնյակ, 2019 թ., 16,300 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37",", 16,300 մղո",Բենզին,Աջափնյակ,2019 ,Nissan Pathfinder,3.5 
"Opel Astra հետչբեք, 2.0 լ, 1999 թ., գազ","$4,200 ","Դավիթաշեն, 1999 թ., 295,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37",շե,1999 ,Դավի,,Opel Astra հետչբեք,2.0 
"Nissan Rogue Sport, 2.0 լ, 2019 թ.","$18,000 ","Աջափնյակ, 2019 թ., 80,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37",", 80,000 մղո",Բենզին,Աջափնյակ,2019 ,Nissan Rogue Sport,2.0 
"Chrysler Vision, 3.5 լ, 1997 թ., գազ","$2,600 Դիլեր","Շենգավիթ, 1997 թ., 210,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37", 1997 ,,Շենգավի,,Chrysler Vision,3.5 
"VAZ (Lada) 2107, 1.6 լ, 2008 թ., գազ","$3,500 ","Մալաթիա Սեբաստիա, 2008 թ., 126,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37",ա Սեբաստի,2008 ,Մալա,,VAZ (Lada) 2107,1.6 
"BMW 3 Series, 2.5 լ, 2005 թ., գազ","$5,500 ","Շենգավիթ, 2005 թ., 140,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37", 2005 ,,Շենգավի,,BMW 3 Series,2.5 
"Audi A4, 2.8 լ, լիաքարշ, 1999 թ., գազ","1,100,000 ֏ ","Մալաթիա Սեբաստիա, 1999 թ., 250,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37",ա Սեբաստի,1999 ,Մալա,,Audi A4,2.8 
"Nissan Xterra, 4.0 լ, լիաքարշ, 2005 թ., գազ","$10,800 ","Կարբի, 2005 թ., 150,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37",", 150,000 կ",Բենզին,Կարբի,2005 ,Nissan Xterra,4.0 
"Ford Transit, 2.5 լ, 2011 թ., գազ","$11,000 ","Պռոշյան, 2011 թ., 150,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36",", 150,000 կ",Բենզին,Պռոշյան,2011 ,Ford Transit,2.5 
"Opel Astra հետչբեք, 1.6 լ, 1998 թ., գազ","$4,000 ","Աջափնյակ, 1998 թ., 215,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36",", 215,000 կ",Բենզին,Աջափնյակ,1998 ,Opel Astra հետչբեք,1.6 
"Nissan Sentra, 1.8 լ, 2017 թ., գազ","$10,800 ","Աջափնյակ, 2017 թ., 155,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36",", 155,000 կ",Բենզին,Աջափնյակ,2017 ,Nissan Sentra,1.8 
"Mercedes-Benz E-Class, 3.5 լ, լիաքարշ, 2008 թ.","$12,000 ","Աջափնյակ, 2008 թ., 190,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36",", 190,000 կ",Բենզին,Աջափնյակ,2008 ,Mercedes-Benz E-Class,3.5 
"Kia Sorento, 3.5 լ, լիաքարշ, 2006 թ., գազ","$5,300 ","Կենտրոն, 2006 թ., 224,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36",", 224,000 մղո",Բենզին,Կենտրոն,2006 ,Kia Sorento,3.5 
"VAZ (Lada) 2131 Niva, 1.7 լ, լիաքարշ, 2021 թ.","$13,500 ","Ռուսաստան, 2021 թ., 25,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36",", 25,000 կ",Բենզին,Ռուսաստան,2021 ,VAZ (Lada) 2131 Niva,1.7 
"GAZ (ГАЗ) 3110 Volga, 2.4 լ, 1997 թ., գազ","350,000 ֏ ","Հրազդան, 1997 թ., 200,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36",", 200,000 կ",Բենզին,Հրազդան,1997 ,GAZ (ГАЗ) 3110 Volga,2.4 
"Hyundai Elantra, 2.0 լ, 2018 թ., գազ","$15,200 ","Հրազդան, 2018 թ., 48,500 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36",", 48,500 մղո",Բենզին,Հրազդան,2018 ,Hyundai Elantra,2.0 
"Ford Focus, 2.0 լ, 2015 թ.","$9,200 Դիլեր","Շենգավիթ, 2015 թ., 180,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35", 2015 ,,Շենգավի,,Ford Focus,2.0 
"VAZ (Lada) 2112 հետչբեք, 1.6 լ, 2007 թ., գազ","1,450,000 ֏ ","Հրազդան, 2007 թ., 230,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",", 230,000 կ",Բենզին,Հրազդան,2007 ,VAZ (Lada) 2112 հետչբեք,1.6 
"Lincoln MKZ, 2.0 լ, 2017 թ., 2017 թ.","$14,200 Դիլեր","Շենգավիթ, 2017 թ., 120,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35", 2017 ,,Շենգավի,,Lincoln MKZ,2.0 
"Fiat Tipo հետչբեք, 1.8 լ, 1994 թ.","1,150,000 ֏ ","Մարտունի, 1994 թ., 170,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",", 170,000 կ",Բենզին,Մարտունի,1994 ,Fiat Tipo հետչբեք,1.8 
"Toyota Voxy, 2.0 լ, 2008 թ., գազ","$11,750 ","Շենգավիթ, 2008 թ., 179,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35", 2008 ,,Շենգավի,,Toyota Voxy,2.0 
"Opel Vectra, 1.8 լ, 1996 թ., գազ","$4,000 ","Մարտունի, 1996 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",", 280,000 կ",Բենզին,Մարտունի,1996 ,Opel Vectra,1.8 
"Ford Focus, 2.0 լ, 2018 թ.","$8,000 Դիլեր","Շենգավիթ, 2018 թ., 90,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35", 2018 ,,Շենգավի,,Ford Focus,2.0 
"Hyundai Elantra, 2.0 լ, 2019 թ., գազ","$13,400 ","Կենտրոն, 2019 թ., 70,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",", 70,000 կ",Բենզին,Կենտրոն,2019 ,Hyundai Elantra,2.0 
"Jeep Compass, 2.4 լ, լիաքարշ, 2020 թ.","$21,500 ","Քանաքեռ Զեյթուն, 2020 թ., 77,500 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",ւ,2020 ,Քանաքեռ Զեյ,,Jeep Compass,2.4 
"Kia Sorento, 3.5 լ, լիաքարշ, 2005 թ., գազ","$8,300 ","Կենտրոն, 2005 թ., 198,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",", 198,000 մղո",Բենզին,Կենտրոն,2005 ,Kia Sorento,3.5 
"Audi A4, 2.0 լ, 2002 թ., գազ","$3,800 ","Աջափնյակ, 2002 թ., 290,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",", 290,000 կ",Բենզին,Աջափնյակ,2002 ,Audi A4,2.0 
"BMW 5 Series, 2.0 լ, 2018 թ.","$35,500 ","Կենտրոն, 2018 թ., 125,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",", 125,000 կ",Բենզին,Կենտրոն,2018 ,BMW 5 Series,2.0 
"Ford Focus, 2.0 լ, 2012 թ., գազ","$4,800 ","Դավիթաշեն, 2012 թ., 164,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35",շե,2012 ,Դավի,,Ford Focus,2.0 
"Tesla Model 3, էլեկտրական, 2020 թ.","$30,500 ","Կենտրոն, 2020 թ., 42,000 կմ, էլեկտրական","Երեքշաբթի, Ապրիլ 16, 2024 13:35",", 42,000 կ",էլեկտրական,Կենտրոն,2020 ,Tesla Model 3,էլեկտրական
"Porsche Cayenne, 4.5 լ, լիաքարշ, 2004 թ., գազ","$8,700 ","Արաբկիր, 2004 թ., 200,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 200,000 կ",Բենզին,Արաբկիր,2004 ,Porsche Cayenne,4.5 
"GAZ (ГАЗ), 2.4 լ, 1967 թ., գազ","$5,000 Հնարավոր է փոխանակում","Կենտրոն, 1967 թ., 120,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 120,000 կ",Բենզին,Կենտրոն,1967 ,GAZ (ГАЗ),2.4 
"Honda CR-V, 2.4 լ, լիաքարշ, 2002 թ., գազ","$7,000 ","Կենտրոն, 2002 թ., 180,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 180,000 կ",Բենզին,Կենտրոն,2002 ,Honda CR-V,2.4 
"Porsche Cayenne, 4.5 լ, լիաքարշ, 2005 թ., գազ","$12,000 ","Արտաշատ, 2005 թ., 132,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 132,000 կ",Բենզին,Արտաշատ,2005 ,Porsche Cayenne,4.5 
"Mazda CX-5, 2.5 լ, լիաքարշ, 2019 թ.","$24,000 ","Արտաշատ, 2019 թ., 18,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 18,000 մղո",Բենզին,Արտաշատ,2019 ,Mazda CX-5,2.5 
"Suzuki Swift, 1.3 լ, 2007 թ.","$6,000 ","Արտաշատ, 2007 թ., 107,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 107,000 կ",Բենզին,Արտաշատ,2007 ,Suzuki Swift,1.3 
"Opel Vectra ունիվերսալ, 2.0 լ, 1999 թ., գազ","$3,500 ","Արաբկիր, 1999 թ., 207,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 207,000 կ",Բենզին,Արաբկիր,1999 ,Opel Vectra ունիվերսա,
"Honda Odyssey (North America), 3.5 լ, 2006 թ., գազ","$10,600 ","Նոր Նորք, 2006 թ., 209,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 209,000 մղո",Բենզին,Նոր Նորք,2006 ,Honda Odyssey (North America),3.5 
"Hyundai Elantra, 2.0 լ, 2017 թ., գազ","$12,000 ","Գեղանիստ, 2017 թ., 108,500 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 108,500 մղո",Բենզին,Գեղանիստ,2017 ,Hyundai Elantra,2.0 
"Renault Express, 1.5 լ, դիզել, 2021 թ., գազ","$3,500 ","Մալաթիա Սեբաստիա, 2021 թ., 140,000 կմ, Դիզել","Երեքշաբթի, Ապրիլ 16, 2024 13:34",ա Սեբաստի,2021 ,Մալա,,Renault Express,1.5 
"Mitsubishi Colt հետչբեք, 1.3 լ, 2006 թ., գազ","$4,500 ","Գեղանիստ, 2006 թ., 225,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34",", 225,000 կ",Բենզին,Գեղանիստ,2006 ,Mitsubishi Colt հետչբեք,1.3 
1,2,3,4,,,3,,1,
