Car,price,details,post_date
"Mazda CX-30, 2.5 լ, լիաքարշ, 2020 թ.","$22,500 ","Մալաթիա Սեբաստիա, 2020 թ., 20,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"Hyundai Elantra, 1.8 լ, 2011 թ., գազ","$10,000 ","Էրեբունի, 2011 թ., 177,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"Opel Astra ունիվերսալ, 1.6 լ, 1998 թ., գազ","$4,800 ","Արբաթ, 1998 թ., 3000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"Mercedes-Benz C-Class, 1.6 լ, 2020 թ.","€26,900 ","Կենտրոն, 2020 թ., 73,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"GAZ (ГАЗ) 3110 Volga ունիվերսալ, 2.1 լ, 1999 թ., գազ","500,000 ֏ ","Դավիթաշեն, 1999 թ., 2354 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"BMW 5 Series, 2.5 լ, 1998 թ.","$3,000 ","Շենգավիթ, 1998 թ., 330,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Ford Fusion (North America), 2.5 լ, 2015 թ.","$11,300 ","Դավիթաշեն, 2015 թ., 137,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"BMW 5 Series, 3.0 լ, 2009 թ., գազ","$9,200 ","Արաբկիր, 2009 թ., 200,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Nissan Sentra, 1.8 լ, 2019 թ.","$12,200 ","Արմավիր, 2019 թ., 164,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"BMW 5 Series, 2.8 լ, 2007 թ., գազ","$10,000 ","Աջափնյակ, 2007 թ., 380,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Honda Accord, 2.4 լ, լիաքարշ, 2015 թ.","$19,500 ","Ավան, 2015 թ., 85,500 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Toyota Belta, 1.3 լ, 2008 թ., գազ","$7,000 ","Կապան, 2008 թ., 195,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Opel Astra ունիվերսալ, 1.8 լ, 1998 թ., գազ","$4,100 ","Արաբկիր, 1998 թ., 216,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Mercedes-Benz C-Class, 1.8 լ, 1999 թ., գազ","$3,900 ","Արաբկիր, 1999 թ., 500,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Kia Forte, 2.0 լ, 2021 թ.","$18,000 ","Էրեբունի, 2021 թ., 23,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"GAZ (ГАЗ) ГАЗель, 2.7 լ, 1999 թ., գազ","1,220,000 ֏ ","Վեդի, 1999 թ., 75,423 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"UAZ (УАЗ) Hunter, 2.9 լ, լիաքարշ, 2009 թ.","$6,400 ","Վեդի, 2009 թ., 75,426 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"MINI Cooper հետչբեք, 1.6 լ, 2006 թ.","$5,200 ","Մալաթիա Սեբաստիա, 2006 թ., 210,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Hyundai Kona, 2.0 լ, լիաքարշ, 2020 թ.","$21,500 ","Էրեբունի, 2020 թ., 13,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:38"
"Nissan Pathfinder, 3.5 լ, 2019 թ.","$27,500 ","Աջափնյակ, 2019 թ., 16,300 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37"
"Opel Astra հետչբեք, 2.0 լ, 1999 թ., գազ","$4,200 ","Դավիթաշեն, 1999 թ., 295,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37"
"Nissan Rogue Sport, 2.0 լ, 2019 թ.","$18,000 ","Աջափնյակ, 2019 թ., 80,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37"
"Chrysler Vision, 3.5 լ, 1997 թ., գազ","$2,600 Դիլեր","Շենգավիթ, 1997 թ., 210,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37"
"VAZ (Lada) 2107, 1.6 լ, 2008 թ., գազ","$3,500 ","Մալաթիա Սեբաստիա, 2008 թ., 126,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37"
"BMW 3 Series, 2.5 լ, 2005 թ., գազ","$5,500 ","Շենգավիթ, 2005 թ., 140,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37"
"Audi A4, 2.8 լ, լիաքարշ, 1999 թ., գազ","1,100,000 ֏ ","Մալաթիա Սեբաստիա, 1999 թ., 250,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37"
"Nissan Xterra, 4.0 լ, լիաքարշ, 2005 թ., գազ","$10,800 ","Կարբի, 2005 թ., 150,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:37"
"Ford Transit, 2.5 լ, 2011 թ., գազ","$11,000 ","Պռոշյան, 2011 թ., 150,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36"
"Opel Astra հետչբեք, 1.6 լ, 1998 թ., գազ","$4,000 ","Աջափնյակ, 1998 թ., 215,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36"
"Nissan Sentra, 1.8 լ, 2017 թ., գազ","$10,800 ","Աջափնյակ, 2017 թ., 155,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36"
"Mercedes-Benz E-Class, 3.5 լ, լիաքարշ, 2008 թ.","$12,000 ","Աջափնյակ, 2008 թ., 190,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36"
"Kia Sorento, 3.5 լ, լիաքարշ, 2006 թ., գազ","$5,300 ","Կենտրոն, 2006 թ., 224,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36"
"VAZ (Lada) 2131 Niva, 1.7 լ, լիաքարշ, 2021 թ.","$13,500 ","Ռուսաստան, 2021 թ., 25,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36"
"GAZ (ГАЗ) 3110 Volga, 2.4 լ, 1997 թ., գազ","350,000 ֏ ","Հրազդան, 1997 թ., 200,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36"
"Hyundai Elantra, 2.0 լ, 2018 թ., գազ","$15,200 ","Հրազդան, 2018 թ., 48,500 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:36"
"Ford Focus, 2.0 լ, 2015 թ.","$9,200 Դիլեր","Շենգավիթ, 2015 թ., 180,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"VAZ (Lada) 2112 հետչբեք, 1.6 լ, 2007 թ., գազ","1,450,000 ֏ ","Հրազդան, 2007 թ., 230,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Lincoln MKZ, 2.0 լ, 2017 թ., 2017 թ.","$14,200 Դիլեր","Շենգավիթ, 2017 թ., 120,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Fiat Tipo հետչբեք, 1.8 լ, 1994 թ.","1,150,000 ֏ ","Մարտունի, 1994 թ., 170,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Toyota Voxy, 2.0 լ, 2008 թ., գազ","$11,750 ","Շենգավիթ, 2008 թ., 179,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Opel Vectra, 1.8 լ, 1996 թ., գազ","$4,000 ","Մարտունի, 1996 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Ford Focus, 2.0 լ, 2018 թ.","$8,000 Դիլեր","Շենգավիթ, 2018 թ., 90,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Hyundai Elantra, 2.0 լ, 2019 թ., գազ","$13,400 ","Կենտրոն, 2019 թ., 70,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Jeep Compass, 2.4 լ, լիաքարշ, 2020 թ.","$21,500 ","Քանաքեռ Զեյթուն, 2020 թ., 77,500 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Kia Sorento, 3.5 լ, լիաքարշ, 2005 թ., գազ","$8,300 ","Կենտրոն, 2005 թ., 198,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Audi A4, 2.0 լ, 2002 թ., գազ","$3,800 ","Աջափնյակ, 2002 թ., 290,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"BMW 5 Series, 2.0 լ, 2018 թ.","$35,500 ","Կենտրոն, 2018 թ., 125,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Ford Focus, 2.0 լ, 2012 թ., գազ","$4,800 ","Դավիթաշեն, 2012 թ., 164,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Tesla Model 3, էլեկտրական, 2020 թ.","$30,500 ","Կենտրոն, 2020 թ., 42,000 կմ, էլեկտրական","Երեքշաբթի, Ապրիլ 16, 2024 13:35"
"Porsche Cayenne, 4.5 լ, լիաքարշ, 2004 թ., գազ","$8,700 ","Արաբկիր, 2004 թ., 200,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"GAZ (ГАЗ), 2.4 լ, 1967 թ., գազ","$5,000 Հնարավոր է փոխանակում","Կենտրոն, 1967 թ., 120,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Honda CR-V, 2.4 լ, լիաքարշ, 2002 թ., գազ","$7,000 ","Կենտրոն, 2002 թ., 180,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Porsche Cayenne, 4.5 լ, լիաքարշ, 2005 թ., գազ","$12,000 ","Արտաշատ, 2005 թ., 132,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2019 թ.","$24,000 ","Արտաշատ, 2019 թ., 18,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Suzuki Swift, 1.3 լ, 2007 թ.","$6,000 ","Արտաշատ, 2007 թ., 107,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Opel Vectra ունիվերսալ, 2.0 լ, 1999 թ., գազ","$3,500 ","Արաբկիր, 1999 թ., 207,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Honda Odyssey (North America), 3.5 լ, 2006 թ., գազ","$10,600 ","Նոր Նորք, 2006 թ., 209,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Hyundai Elantra, 2.0 լ, 2017 թ., գազ","$12,000 ","Գեղանիստ, 2017 թ., 108,500 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Renault Express, 1.5 լ, դիզել, 2021 թ., գազ","$3,500 ","Մալաթիա Սեբաստիա, 2021 թ., 140,000 կմ, Դիզել","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
"Mitsubishi Colt հետչբեք, 1.3 լ, 2006 թ., գազ","$4,500 ","Գեղանիստ, 2006 թ., 225,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:34"
1,2,3,4
"Mercedes-Benz CLS-Class, 5.0 լ, 2005 թ., գազ","$12,900 ","Էրեբունի, 2005 թ., 177,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Mercedes-Benz M-Class, 3.2 լ, լիաքարշ, 2000 թ., գազ","$8,500 ","Շենգավիթ, 2000 թ., 250,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Jeep Renegade, 2.4 լ, 2019 թ.","$5,000,000 Դիլեր","Ճանապարհին, 2019 թ., 130,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Opel Astra հետչբեք, 1.6 լ, 2003 թ., գազ","$5,500 ","Գյումրի, 2003 թ., 270,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Mercedes-Benz ML, 3.2 լ, լիաքարշ, 1999 թ., գազ","$6,500 ","Ջերմուկ, 1999 թ., 188,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Mazda Demio հետչբեք, 1.3 լ, 2005 թ., գազ","$4,800 ","Վանաձոր, 2005 թ., 241,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"BMW 3 Series, 2.0 լ, 2003 թ.","$5,200 ","Վանաձոր, 2003 թ., 260,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Mercedes-Benz E-Class, 3.5 լ, 2011 թ., գազ","$19,000 ","Էրեբունի, 2011 թ., 126,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Mercedes-Benz E-Class AMG, 3.0 լ, 1997 թ., գազ","$6,500 ","Շենգավիթ, 1997 թ., 300,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Honda CR-V, 2.0 լ, լիաքարշ, 2001 թ., գազ","$5,300 ","Շենգավիթ, 2001 թ., 270,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:33"
"Dodge Journey, 2.4 լ, 2017 թ.","4,000,400 ֏ ","Նոր Նորք, 2017 թ., 107,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"MINI Cooper S Countryman, 1.6 լ, լիաքարշ, 2012 թ.","$9,200 ","Աջափնյակ, 2012 թ., 140,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Infiniti Q30 հետչբեք, 2.0 լ, 2017 թ.","$23,800 ","Շենգավիթ, 2017 թ., 99,200 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Mercedes-Benz S-Class, 3.2 լ, 1996 թ., գազ","$5,300 ","Արագած, 1996 թ., 365,800 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"BMW 5 Series, 3.0 լ, 2006 թ.","$8,700 ","Մալաթիա Սեբաստիա, 2006 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Opel Combo, 1.6 լ, 2007 թ., գազ","$8,400 Դիլեր","Շենգավիթ, 2007 թ., 151,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Ford Transit, 2.5 լ, դիզել, 2000 թ.","$3,800 ","Սևան, 2000 թ., 663,000 կմ, Դիզել","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Toyota Camry, 2.5 լ, 2013 թ., գազ","$16,000 ","Աբովյան, 2013 թ., 98,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Mercedes-Benz GLE-Class, 3.5 լ, լիաքարշ, 2017 թ.","$32,000 ","Նորք Մարաշ, 2017 թ., 126,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Chrysler 200, 2.4 լ, 2015 թ.","$12,000 ","Աջափնյակ, 2015 թ., 108,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Hyundai Elantra կուպե, 2.0 լ, 2014 թ.","$13,000 ","Արաբկիր, 2014 թ., 26,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Kia Sorento, 2.5 լ, դիզել, 2004 թ.","$5,000 Դիլեր","Աշտարակ, 2004 թ., 220,000 կմ, Դիզել","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Subaru Impreza, 2.0 լ, լիաքարշ, 2017 թ.","$14,300 Դիլեր","Աշտարակ, 2017 թ., 67,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Toyota Alphard, 2.4 լ, 2004 թ.","$14,500 Դիլեր","Աշտարակ, 2004 թ., 170,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:32"
"Opel Astra հետչբեք, 1.6 լ, 1999 թ., գազ","$4,500 ","Մասիս, 1999 թ., 230,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Toyota Corolla, 1.6 լ, 2008 թ., գազ","$7,800 ","Նոր Նորք, 2008 թ., 300,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Mazda 6, 2.5 լ, 2019 թ.","$25,000 Դիլեր","Աշտարակ, 2019 թ., 33,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Mercedes-Benz E-Class, 2.4 լ, 1998 թ., գազ","$6,000 ","Շենգավիթ, 1998 թ., 245,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Mercedes-Benz ML, 3.5 լ, լիաքարշ, 2011 թ., գազ","$20,000 ","Էջմիածին, 2011 թ., 132,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Mitsubishi Pajero, 3.0 լ, լիաքարշ, 1994 թ., գազ","$5,400 ","Ջրվեժ, 1994 թ., 285,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Volkswagen Jetta, 2.5 լ, 2011 թ., գազ","$8,800 ","Կենտրոն, 2011 թ., 128,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Mercedes-Benz C-Class, 1.8 լ, 1997 թ., գազ","$4,500 ","Նորք Մարաշ, 1997 թ., 260,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Jeep Liberty (North America), 3.7 լ, լիաքարշ, 2002 թ., գազ","600,000 ֏ ","Մալաթիա Սեբաստիա, 2002 թ., 100,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Mitsubishi Airtrek, 2.0 լ, լիաքարշ, 2002 թ., գազ","$6,300 ","Ոսկեվազ, 2002 թ., 194,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Mitsubishi Outlander, 2.4 լ, 2018 թ., գազ","$18,300 ","Նոր Նորք, 2018 թ., 78,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Mercedes-Benz C-Class ունիվերսալ, 1.8 լ, 1996 թ., գազ","$4,000 ","Արմավիր, 1996 թ., 390,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Nissan X-Trail, 2.5 լ, լիաքարշ, 2010 թ.","$15,000 ","Արաբկիր, 2010 թ., 162,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:31"
"Citroen Xsara Picasso, 1.6 լ, 2002 թ., գազ","$4,000 ","Թաիրով, 2002 թ., 550,055 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Nissan Sentra, 1.8 լ, 2019 թ.","$11,100 ","Եղվարդ, 2019 թ., 59,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Nissan Versa հետչբեք, 1.6 լ, 2020 թ.","$14,700 ","Արտաշատ, 2020 թ., 23,800 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
